No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.24B,7.9,48.03,-0.44%,246104
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,5.16B,25.32,18.74,6.78%,2997665
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.84B,-,21.35,-0.88%,44185
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,134.58M,-,1.35,0.00%,224613
32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.92,0.02%,442
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49.41B,17.94,3.14,-0.32%,27226484
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.37B,8.07,179.44,-0.88%,147354
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187.70M,-,9.69,0.41%,3
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,45.14M,-,3.1,-0.64%,109378
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.24B,15.41,48.86,-0.02%,389334
38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,16.91B,110.46,372.69,0.77%,137492
39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,98.39B,-,158,0.51%,4441902
40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,589.46M,-,15.59,2.10%,152680
41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.55B,7.95,18.29,-0.49%,716001
42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1.98B,-,20.08,3.45%,114418
43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,763.12M,135.87,12.5,0.56%,47021
44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,230.20B,36.09,128.94,0.35%,2459404
45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,714.09M,10.14,36.23,-1.01%,63674
46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,330.05M,-,3.41,-0.87%,658488
47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,76.83M,-,3.25,-7.93%,474655
48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,774.14M,7.69,36.43,-1.89%,4084
49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.40B,31.51,50.64,-1.06%,193608
50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.63B,-,16.78,-2.27%,1149657
51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.9,-0.10%,401
